id,ward,theft from person,population density,unemployed,education,street Lamp,comma
1,Belsize,91,"11,738",273,574,400
2,Bloomsbury,"1,412","9,394",306,872,1037
3,Camden Square,21,"15,273",345,822,494
4,Camden Town and Primrose Hill,717,"20,251",584,1770,745
5,Fortune Green,16,"11,347",343,995,464
6,Frognal,11,"6,693",177,474,686
7,Gospel Oak,68,"14,840",445,"1,391",454
8,Hampstead Town,43,"3,675",162,360,830
9,Haverstock,59,"15,982",448,"1,537",452
10,Highgate (Camden),46,"3,208",319,874,760
11,Holborn & Covent Garden,"1,131","8,932",403,"1,189",1440
12,Kentish Town ,71,"25,022",605,2343,694
13,Kilburn (Camden),130,"18,516",506,"1,850",494
14,King's Cross,295,"10,762",445,"1,230",524
15,Regent's Park (Camden),342,"8,833",479,"1,550",507
16,St Pancras & Somers Town,147,"14,703",533,"1,916",720
17,South Hampstead,91,"14,014",359,876,510
18,West Hampstead,59,"14,506",353,926,438
